ParticipantID,Condition,PressedKey,TrialTime,StampedTime
RH,Right,right,319.528815031,319.528613806
RH,Right,right,319.52895999,319.528836966
RH,Right,left,320.905036926,320.904754877
RH,Right,right,322.640930891,322.640726805
RH,Right,right,322.641070843,322.640951872
RH,Left,left,343.809883833,343.787266016
RH,Left,left,345.233805895,345.233547926
RH,Left,right,346.441758871,346.441506863
RH,Left,left,348.337874889,348.337594986
RH,Left,right,350.153949022,350.15367198
RH,Left,left,351.561802864,351.561600924
RH,Left,left,351.561942816,351.561823845
RH,Left,right,352.865902901,352.865650892
RH,Left,left,354.290095806,354.289803982
RH,Left,right,356.314080954,356.313846827
RH,Left,right,356.314221859,356.314102888
RH,Left,left,357.618108034,357.617851973
RH,Left,right,359.202105999,359.201893806
RH,Left,right,359.202244997,359.20212698
RH,Left,left,360.842242002,360.841962814
RH,Left,right,365.210451841,365.210166931
RH,Left,left,367.33049798,367.330205917
RH,Left,right,372.082680941,372.082396984
RH,Left,left,373.690547943,373.690286875
RH,Left,right,375.306607962,375.306382895
RH,Left,right,375.306747913,375.306628942
RH,Left,left,376.650581837,376.650372028
RH,Left,left,376.650722027,376.650602818
RH,Left,right,378.29073,378.290498972
RH,Left,right,378.290870905,378.290751934
RH,Left,left,379.77067399,379.770460844
RH,Left,left,379.770814896,379.770694971
RH,Left,right,381.002694845,381.002496958
RH,Left,right,381.002833843,381.002715826
RH,Right,right,402.867481947,402.867242813
RH,Right,right,402.867623806,402.867503881
RH,Right,left,404.027406931,404.027206898
RH,Right,left,404.027547836,404.027427912
RH,Right,right,405.459604979,405.45932889
RH,Right,left,407.035609961,407.035362005
RH,Right,right,409.107676029,409.107447863
RH,Right,right,409.107815981,409.107697964
RH,Right,left,412.939929962,412.939647913
RH,Right,right,415.00387001,415.00364089
RH,Right,right,415.004009962,415.003891945
RH,Right,left,416.523936033,416.523669004
RH,Right,right,418.132010937,418.131770849
RH,Right,right,418.132151842,418.132032871
RH,Right,left,419.595974922,419.59572196
RH,Right,right,421.564038992,421.563808918
RH,Right,right,421.564179897,421.564060926
RH,Right,left,423.252169847,423.251894951
RH,Right,right,424.284031868,424.283834934
RH,Right,right,424.28417182,424.284052849
RH,Right,left,425.852113962,425.851867914
RH,Right,right,427.148216963,427.14793396
RH,Right,left,428.916262865,428.916013956
RH,Right,right,434.388552904,434.388260841
RH,Right,left,435.660456896,435.660233974
RH,Right,left,435.660595894,435.660477877
RH,Right,right,436.8125,436.812291861
RH,Right,right,436.812638998,436.812520981
RH,Left,right,461.397320032,461.397078037
RH,Left,right,461.397459984,461.397341967
RH,Left,left,462.853374958,462.853083849
RH,Left,right,464.453343868,464.45310688
RH,Left,right,464.453485012,464.453366041
RH,Left,left,465.853475809,465.853183985
RH,Left,right,467.605500937,467.60521698
RH,Left,left,469.06157589,469.061285019
RH,Left,right,472.749675989,472.749385834
RH,Left,left,474.165684938,474.165436029
RH,Left,left,474.165825844,474.165707827
RH,Left,left,475.613656998,475.613426924
RH,Left,left,475.613797903,475.613678932
RH,Left,right,476.893828869,476.893544912
RH,Left,left,478.757895947,478.757594824
RH,Left,right,482.390058041,482.389765024
RH,Left,left,485.966146946,485.96585989
RH,Left,right,490.158264875,490.157979965
RH,Left,left,491.37409091,491.373847008
RH,Left,right,492.565629005,492.545717955
RH,Left,left,494.078226805,494.077976942
RH,Right,right,515.693895817,515.671002865
RH,Right,right,517.655112982,517.654812813
RH,Right,left,518.678910017,518.678653955
RH,Right,right,520.503039837,520.502763033
RH,Right,left,522.047127962,522.046900034
RH,Right,left,522.047268867,522.047149897
RH,Right,right,525.311209917,525.310972929
RH,Right,right,525.311349869,525.311231852
RH,Right,left,527.679236889,527.67897892
RH,Right,right,529.911429882,529.911154032
RH,Right,left,531.46338582,531.463156939
RH,Right,left,531.463526011,531.46340704
RH,Right,right,535.983585835,535.983347893
RH,Right,right,535.983726025,535.983608007
RH,Right,left,537.295523882,537.295257807
RH,Right,right,539.391757965,539.391470909
RH,Right,left,541.671766043,541.671515942
RH,Right,left,541.671905994,541.671787977
RH,Right,right,544.991849899,544.991611958
RH,Right,right,544.991991997,544.991871834
RH,Right,left,546.487761974,546.487552881
RH,Right,left,546.487903833,546.487783909
RH,Right,right,548.055933952,548.055701017
RH,Right,right,548.056077957,548.055955887
RH,Right,left,549.727841854,549.727634907
RH,Right,left,549.727981806,549.727862835
RH,Right,right,551.552043915,551.551767826
