ParticipantID,ContrastLevel,Direction,ResponseTime
ms,0.6,right,2.56274795532
ms,0.75,right,1.74562501907
ms,0.9,left,4.03475999832
ms,0.75,left,1.9720261097
ms,0.6,right,1.32402300835
ms,0.9,right,1.5028488636
ms,0.9,left,1.68248701096
ms,0.6,right,2.51836800575
ms,0.75,right,1.18337392807
ms,0.9,right,1.24813389778
ms,0.6,left,2.33451390266
ms,0.75,left,2.07102012634
ms,0.9,right,1.22687602043
ms,0.75,left,2.92170286179
ms,0.6,left,3.33797812462
ms,0.75,right,1.36058402061
ms,0.6,left,1.60190200806
ms,0.9,left,2.25731420517
ms,0.6,right,1.28553700447
ms,0.9,left,2.28217887878
ms,0.75,right,2.34896206856
ms,0.6,left,3.07692408562
ms,0.9,right,1.22195100784
ms,0.75,left,1.93369603157
ms,0.75,right,0.967097997665
ms,0.9,left,2.62502384186
ms,0.6,left,3.1340341568
ms,0.9,right,1.14113998413
ms,0.75,left,2.01532292366
ms,0.6,left,1.69334506989
ms,0.75,right,1.36044287682
ms,0.9,right,1.26584911346
ms,0.6,left,2.43110489845
ms,0.6,right,2.02752995491
ms,0.75,left,2.76905298233
ms,0.9,left,2.11965298653
ms,0.6,left,2.09714698792
ms,0.75,left,1.56360220909
ms,0.9,left,1.97252321243
ms,0.9,left,3.15668201447
ms,0.75,right,1.03507590294
ms,0.6,left,1.54610013962
ms,0.6,right,3.24374508858
ms,0.75,left,2.34991502762
ms,0.9,left,2.95012187958
ms,0.6,left,2.26088809967
ms,0.9,right,1.10433411598
ms,0.75,left,3.00472807884
ms,0.75,right,2.25745296478
ms,0.6,left,4.25377202034
ms,0.9,left,4.84622097015
