ParticipantID,ContrastLevel,Direction,ResponseTime
MS,0.75,right,2.87315201759
MS,0.6,right,3.53917694092
MS,0.9,right,2.12150001526
MS,0.9,left,3.89142084122
MS,0.6,right,3.73112988472
MS,0.75,right,2.13710808754
MS,0.6,right,1.83407592773
MS,0.9,left,2.07969880104
MS,0.75,right,2.179033041
MS,0.75,right,1.83387899399
MS,0.6,right,1.99951195717
MS,0.9,right,2.35825991631
MS,0.9,right,1.64547991753
MS,0.75,right,1.53080701828
MS,0.6,right,1.91692209244
MS,0.75,left,2.663159132
MS,0.6,right,1.83388090134
MS,0.9,right,2.87944507599
MS,0.75,right,3.00902295113
MS,0.6,right,2.46918392181
MS,0.9,left,3.8883190155
MS,0.6,right,3.04001808167
MS,0.75,left,3.64321899414
MS,0.9,right,2.91669511795
MS,0.75,right,2.02106499672
MS,0.9,left,2.24306082726
MS,0.6,right,2.61520600319
MS,0.6,left,3.17200803757
MS,0.75,right,1.44979715347
MS,0.9,right,1.67948198318
MS,0.6,right,2.19528388977
MS,0.75,right,1.8336892128
MS,0.9,left,3.49532604218
MS,0.75,left,3.8951690197
MS,0.9,right,1.8701198101
MS,0.6,left,2.75439500809
MS,0.9,left,2.44144701958
MS,0.6,left,3.18944811821
MS,0.75,right,2.13043904305
MS,0.6,left,2.93960690498
MS,0.75,left,2.62699508667
MS,0.9,right,1.58313202858
MS,0.9,right,2.17515015602
MS,0.6,right,2.39813613892
MS,0.75,right,2.32405996323
MS,0.75,left,2.14885902405
MS,0.6,right,2.10906004906
MS,0.9,right,1.79071497917
MS,0.75,right,1.98985290527
MS,0.9,right,1.82059407234
MS,0.6,right,2.68311405182
