ParticipantID,ContrastLevel,Direction,ResponseTime
MS,0.6,left,1.87427401543
MS,0.9,left,2.60581207275
MS,0.75,left,2.85121488571
MS,0.6,right,2.28624796867
MS,0.9,left,1.95301890373
MS,0.75,right,1.20170497894
MS,0.75,right,1.39394283295
MS,0.6,right,1.641258955
MS,0.9,right,1.32703018188
MS,0.75,right,1.32978200912
MS,0.6,left,1.80434083939
MS,0.9,right,1.25138616562
MS,0.9,right,1.21753907204
MS,0.6,left,2.01709604263
MS,0.75,left,2.22290611267
MS,0.9,left,2.1324570179
MS,0.6,right,0.901721000671
MS,0.75,right,1.60237979889
MS,0.75,right,1.72979688644
MS,0.6,left,1.49135088921
MS,0.9,left,2.6071639061
MS,0.6,left,2.06862306595
MS,0.75,right,1.13632416725
MS,0.9,right,1.01159906387
MS,0.75,right,0.93959903717
MS,0.6,right,1.76619386673
MS,0.9,right,1.55868792534
MS,0.75,left,3.4634950161
MS,0.6,left,1.84058785439
MS,0.9,right,1.01343107224
MS,0.6,left,2.07740116119
MS,0.9,right,1.16056609154
MS,0.75,right,1.49017500877
MS,0.9,left,1.84585690498
MS,0.75,right,1.21857500076
MS,0.6,left,1.73819208145
MS,0.9,right,1.13198494911
MS,0.6,left,2.34310412407
MS,0.75,left,1.3831911087
MS,0.6,right,1.35169696808
MS,0.9,right,1.11339497566
MS,0.75,right,1.23722600937
MS,0.9,right,0.916337013245
MS,0.6,left,1.72011780739
MS,0.75,right,1.09049701691
MS,0.6,left,2.17503905296
MS,0.75,left,1.94209289551
MS,0.9,right,1.50280380249
MS,0.75,left,2.25031685829
MS,0.6,left,2.67862415314
MS,0.9,left,2.84060096741
