ParticipantID,ContrastLevel,Direction,ResponseTime
MS,0.6,right,1.45198917389
MS,0.9,left,3.29755997658
MS,0.75,left,2.8416390419
MS,0.6,right,1.4366710186
MS,0.75,right,2.15521812439
MS,0.9,right,1.46731615067
MS,0.75,left,2.04840993881
MS,0.9,right,1.62067198753
MS,0.6,right,1.69941306114
MS,0.6,right,1.57470107079
MS,0.9,right,1.59887695312
MS,0.75,left,3.03028488159
MS,0.6,left,3.56979107857
MS,0.75,left,3.31043100357
MS,0.9,right,2.02996182442
MS,0.75,right,1.61119198799
MS,0.9,left,2.92165994644
MS,0.6,left,3.17021512985
MS,0.9,right,2.53584098816
MS,0.6,left,3.23218607903
MS,0.75,right,1.44289398193
MS,0.75,left,2.77685308456
MS,0.9,right,1.27040505409
MS,0.6,left,2.02727890015
MS,0.9,left,2.45635008812
MS,0.6,right,1.56341099739
MS,0.75,left,2.42813897133
MS,0.9,right,1.63276004791
MS,0.6,left,2.58285307884
MS,0.75,left,3.47689509392
MS,0.75,right,1.43745589256
MS,0.9,right,1.21897101402
MS,0.6,left,1.94651412964
MS,0.6,left,2.17937803268
MS,0.75,right,1.37820601463
MS,0.9,left,2.49873399734
MS,0.75,right,1.49239301682
MS,0.6,left,2.6959168911
MS,0.9,right,1.32132816315
MS,0.6,right,1.68385601044
MS,0.75,left,2.20764803886
MS,0.9,left,3.1573638916
MS,0.6,left,3.7871119976
MS,0.75,right,1.04656410217
MS,0.9,left,1.78944206238
MS,0.75,left,2.00443816185
MS,0.6,right,2.59491205215
MS,0.9,right,1.80839109421
MS,0.75,right,2.4948580265
MS,0.9,right,1.12833499908
MS,0.6,right,1.20344805717
