ParticipantID,ContrastLevel,Direction,ResponseTime
MS,0.75,right,2.01028704643
MS,0.9,right,1.81605887413
MS,0.6,right,1.93429088593
MS,0.75,right,2.13617920876
MS,0.6,right,2.16901993752
MS,0.9,right,1.54476594925
MS,0.75,left,2.39425086975
MS,0.6,right,1.45606899261
MS,0.9,left,3.81299209595
MS,0.9,right,3.09573101997
MS,0.6,right,2.08009696007
MS,0.75,left,2.86733913422
MS,0.75,right,1.75766181946
MS,0.6,right,2.13400101662
MS,0.9,right,1.367000103
MS,0.6,left,2.65630984306
MS,0.9,right,3.29176306725
MS,0.75,left,1.98056793213
MS,0.6,right,1.88399815559
MS,0.75,right,2.81551599503
MS,0.9,left,2.42781710625
MS,0.6,right,2.31243920326
MS,0.75,right,1.85785293579
MS,0.9,right,1.98199915886
MS,0.6,right,1.35735917091
MS,0.75,right,2.02269506454
MS,0.9,left,2.22842717171
MS,0.6,left,3.41749310493
MS,0.75,left,3.6286649704
MS,0.9,right,3.23089885712
MS,0.9,left,3.84196090698
MS,0.6,right,1.63562703133
MS,0.75,right,1.8416531086
MS,0.6,left,5.58269190788
MS,0.9,right,3.00718998909
MS,0.75,left,3.32380509377
MS,0.75,left,2.48346590996
MS,0.9,right,3.42172384262
MS,0.6,right,2.66479492188
MS,0.75,left,3.80369496346
MS,0.6,right,3.57493305206
MS,0.9,left,2.91591382027
MS,0.75,right,2.14793205261
MS,0.9,left,3.34051203728
MS,0.6,right,3.25924515724
MS,0.75,left,4.72482991219
MS,0.9,left,3.97739696503
MS,0.6,left,2.98098802567
MS,0.75,right,2.22647714615
MS,0.6,right,3.4072701931
MS,0.9,left,3.12329602242
