ParticipantID,ContrastLevel,Direction,ResponseTime
MP,0.6,right,1.65119099617
MP,0.75,right,1.20841479301
MP,0.9,right,1.14374399185
MP,0.9,right,1.06592297554
MP,0.75,right,1.22371888161
MP,0.6,left,2.09453606606
MP,0.6,right,2.91319513321
MP,0.9,right,1.21732091904
MP,0.75,right,1.97672796249
MP,0.6,left,1.76808786392
MP,0.9,right,1.00048398972
MP,0.75,right,1.0568780899
MP,0.75,right,0.934674978256
MP,0.9,right,1.82628011703
MP,0.6,right,1.84762001038
MP,0.75,right,1.09263110161
MP,0.9,right,1.20100617409
MP,0.6,right,1.32928681374
MP,0.9,right,1.02777695656
MP,0.6,left,2.43524098396
MP,0.75,right,1.55141496658
MP,0.75,left,4.84898900986
MP,0.9,right,2.00790095329
MP,0.6,right,3.43797802925
MP,0.6,right,3.47253894806
MP,0.9,right,1.97765493393
MP,0.75,right,2.28904604912
MP,0.9,right,0.659620046616
MP,0.6,right,1.95443296432
MP,0.75,left,2.58728289604
MP,0.9,right,2.97724699974
MP,0.75,right,1.34275388718
MP,0.6,right,2.83247804642
MP,0.9,left,2.23629593849
MP,0.6,right,1.72129607201
MP,0.75,right,1.89953398705
MP,0.6,right,2.66238999367
MP,0.75,left,3.26529097557
MP,0.9,left,3.17886018753
MP,0.75,right,1.15177798271
MP,0.9,right,1.24192810059
MP,0.6,right,1.83204603195
MP,0.75,left,4.67757487297
MP,0.6,right,1.43645811081
MP,0.9,right,1.3468568325
MP,0.6,right,3.7008869648
MP,0.9,right,1.12410998344
MP,0.75,left,2.41514205933
MP,0.6,right,1.86026597023
MP,0.9,right,1.18447804451
MP,0.75,right,1.25755405426
