ParticipantID,VisibleHemifield,Direction,ResponseTime
,Left,down,1.9107546999584883
,Right,lalt,0.8994647001381963
,Left,tab,21.924316100077704
,Right,escape,22.33771579992026
,Left,lalt,20.027339999796823
,OddRight,lalt,0.024148300057277083
,Right,lalt,0.874906999990344
,Left,lalt,0.3055893999990076
,Right,lalt,0.3695334999356419
,Left,lalt,0.31279780017212033
,Right,lalt,0.8822639998979867
,OddLeft,lalt,0.01658970001153648
