ParticipantID,VisibleHemifield,Direction,ResponseTime
RH,Right,right,0.990586996078
RH,Left,right,1.49425697327
RH,Left,left,2.04103398323
RH,Right,right,1.60523915291
RH,Right,left,2.15523004532
RH,Left,left,1.79402780533
RH,Right,right,1.52057909966
RH,Left,right,1.63414597511
RH,Right,right,1.30330300331
RH,Left,right,2.45059013367
RH,Right,right,1.03622817993
RH,Left,right,1.28196716309
RH,Left,left,1.57387900352
RH,Right,right,1.30147695541
RH,Right,right,1.40059399605
RH,Left,right,1.14368391037
RH,Right,right,1.12940192223
RH,Left,left,1.17983603477
RH,Left,right,1.46788907051
RH,Right,right,1.17622303963
RH,Right,right,1.38281393051
RH,Left,right,1.34271883965
RH,Left,right,1.73580884933
RH,Right,right,1.34491896629
RH,Right,right,1.77826499939
RH,Left,right,1.26532506943
RH,Left,left,1.39780211449
RH,Right,right,1.40505003929
RH,Left,right,1.31542801857
RH,Right,right,1.14209413528
RH,Left,right,1.2060379982
RH,Right,right,1.12491416931
RH,Left,right,1.92712593079
RH,Right,left,1.65586400032
RH,Left,right,1.9399960041
RH,Right,right,1.33985805511
RH,Left,right,1.5890750885
RH,Right,right,1.50785207748
RH,Right,right,1.31811690331
RH,Left,left,2.04868078232
RH,Left,right,1.69883084297
RH,Right,right,1.24546694756
RH,Right,left,1.97083497047
RH,Left,left,2.30632090569
RH,Right,left,1.69087195396
RH,Left,right,1.38149690628
RH,Right,right,1.22926497459
RH,Left,right,1.64332914352
RH,Right,left,2.15219306946
RH,Left,right,1.26379990578
