ParticipantID,VisibleHemifield,Direction,ResponseTime
CM,Right,left,1.38879704475
CM,Left,right,1.5798971653
CM,Right,left,2.7314119339
CM,Left,right,1.1064491272
CM,Left,left,1.86948800087
CM,Right,left,1.3530831337
CM,Right,left,1.72220110893
CM,Left,right,0.939243793488
CM,Right,left,1.13331413269
CM,Left,left,1.20761108398
CM,Right,left,1.06067490578
CM,Left,right,1.10583615303
CM,Right,left,1.45289707184
CM,Left,right,1.49781894684
CM,Right,left,1.48470187187
CM,Left,right,1.48030304909
CM,Right,right,2.91627502441
CM,Left,right,1.04372000694
CM,Left,right,1.44941806793
CM,Right,right,1.59033584595
CM,Left,right,1.31568288803
CM,Right,right,1.37408900261
CM,Left,right,1.27800488472
CM,Right,left,1.62605500221
CM,Right,left,2.67135691643
CM,Left,right,0.953323125839
CM,Left,right,0.818636894226
CM,Right,right,1.30607700348
CM,Right,left,1.88480615616
CM,Left,right,0.855434894562
CM,Right,right,2.01138091087
CM,Left,right,1.0807800293
CM,Right,left,2.66907906532
CM,Left,right,1.04732203484
CM,Left,right,0.868910074234
CM,Right,right,1.20239305496
CM,Right,right,1.67380595207
CM,Left,right,1.77306103706
CM,Left,right,0.972290992737
CM,Right,right,1.23669481277
CM,Right,right,2.01724100113
CM,Left,right,0.942454099655
CM,Right,left,2.28844094276
CM,Left,right,1.0266251564
CM,Right,right,1.23287796974
CM,Left,right,1.3430788517
CM,Right,right,1.00825595856
CM,Left,right,0.959575891495
CM,Right,right,1.24067783356
CM,Left,left,2.04631304741
