ParticipantID,VisibleHemifield,Direction,ResponseTime
CM,Left,right,0.922191858292
CM,Right,left,1.8056511879
CM,Left,right,1.0606470108
CM,Right,left,1.68250012398
CM,Left,left,3.39833712578
CM,OddRight,right,1.62963199615
CM,Right,right,1.34191989899
CM,Left,left,1.54364800453
CM,Right,right,1.40920710564
CM,Left,left,2.20046305656
CM,OddLeft,right,1.66349196434
CM,Right,right,1.49656701088
CM,Left,left,3.08206796646
CM,Right,right,1.34736204147
CM,Left,left,1.70868897438
CM,Right,right,1.66380786896
CM,OddRight,right,1.83051800728
CM,Left,left,1.31922292709
CM,Right,right,1.37869596481
CM,Left,right,1.26730298996
CM,Right,right,1.47256302834
CM,Left,left,1.53275585175
CM,OddRight,left,0.0264492034912
CM,Right,right,1.26184010506
CM,Left,right,1.16083097458
CM,Right,left,1.85846996307
CM,Left,left,1.71860003471
CM,OddLeft,right,1.73027706146
CM,Right,right,1.22449493408
CM,Left,left,1.59932589531
CM,Right,right,1.62277007103
CM,Left,right,1.01257801056
CM,Right,right,1.42054009438
CM,OddRight,right,1.76368188858
CM,Left,left,1.58560705185
CM,Right,right,1.94556498528
CM,Left,left,1.94420194626
CM,Right,left,1.74487900734
CM,Left,right,1.10610198975
CM,OddLeft,right,1.74693179131
CM,Right,right,1.58027696609
CM,Left,left,1.81243181229
CM,Right,right,1.24274301529
CM,Left,right,0.993013858795
CM,OddRight,right,1.74641489983
CM,Right,right,1.32803702354
CM,Left,left,1.5067050457
CM,Right,right,1.70151090622
CM,Left,right,0.902630090714
CM,OddRight,right,1.74703407288
CM,Right,right,1.56994009018
CM,Left,left,1.32264399529
CM,Right,left,2.06147503853
CM,Left,right,0.977222919464
CM,OddRight,right,1.79663395882
CM,Right,right,1.57514500618
CM,Left,right,1.28719997406
CM,Right,right,1.51592803001
CM,Left,right,1.02268385887
CM,OddRight,right,1.69689297676
CM,Right,right,1.26258087158
