ParticipantID,Condition,PressedKey,TrialTime,StampedTime
RH,Left,space,1.42970395088,1.42946696281
RH,Left,space,1.42984604836,1.42972612381
RH,Left,left,2.27761816978,2.27742004395
RH,Left,left,2.27775907516,2.27764010429
RH,Left,right,3.96577596664,3.965528965
RH,Left,left,6.07776403427,6.0775680542
RH,Left,left,6.07790517807,6.07778596878
RH,Left,right,9.06993198395,9.06968402863
RH,Right,left,0.920590162277,0.920349121094
RH,Right,left,0.920733213425,0.920614004135
RH,Right,right,2.25656604767,2.25632119179
RH,Right,space,4.46463012695,4.46437501907
RH,Right,left,4.98456907272,4.98432803154
RH,Right,space,5.67244815826,5.67225909233
RH,Right,space,5.67258906364,5.6724691391
RH,Right,right,7.00872921944,7.00848412514
RH,Right,space,7.98460912704,7.98436713219
RH,Right,left,9.48877716064,9.4885020256
