ParticipantID,StimOrientation,Direction,ResponseTime,IsOddBall,WaveSpeed
RH,SpiralL,right,1.93069696426,N,1.58458602244
RH,SpiralR,left,2.93952083588,N,1.58458602244
RH,ConcentricL,left,1.27401399612,N,1.28056515873
RH,RadialL,right,0.846204042435,N,1.26558718921
RH,RadialR,right,0.915837049484,N,1.25392885122
RH,ConcentricR,right,0.823572874069,N,1.26480680409
RH,SpiralL,right,0.0437669754028,Y,1.58458602244
RH,RadialL,right,1.0202999115,N,1.24639243381
RH,ConcentricL,left,1.33128190041,N,1.26480680409
RH,ConcentricR,right,0.933443069458,N,1.25376134627
RH,SpiralL,left,9.0965590477,N,1.58458602244
RH,RadialR,right,0.756861925125,N,1.23109460541
RH,SpiralR,right,1.62238502502,N,1.58668596702
RH,RadialR,right,1.01270008087,N,1.22447658951
RH,SpiralR,right,0.778484106064,Y,1.58668596702
RH,ConcentricR,right,0.962971925735,N,1.24438104238
RH,RadialL,right,0.756105899811,N,1.21070098099
RH,SpiralL,left,1.74959111214,N,1.58668596702
RH,SpiralR,right,1.57425189018,N,1.58603154193
RH,ConcentricL,right,1.60584688187,N,1.25567684986
RH,ConcentricR,left,1.45222210884,N,1.25567684986
RH,SpiralR,right,0.778553962708,Y,1.58603154193
RH,SpiralR,left,1.46483302116,N,1.58603154193
RH,RadialR,right,1.25289487839,N,1.21190652092
RH,SpiralL,left,1.59441900253,N,1.58603154193
RH,ConcentricL,left,1.2969429493,N,1.25567684986
RH,RadialL,left,2.04402303696,N,1.21190652092
RH,SpiralR,left,2.16020894051,N,1.58603154193
RH,RadialL,left,1.230864048,N,1.21190652092
RH,RadialL,right,0.811896085739,Y,1.21190652092
RH,ConcentricR,left,1.33873605728,N,1.25567684986
RH,ConcentricL,left,1.38065814972,N,1.25567684986
RH,RadialR,right,0.844743013382,N,1.2017075346
RH,SpiralL,right,1.61090612411,N,1.58727527104
