38.2285 	EXP 	Arrow: autoDraw = False
38.2285 	EXP 	Arrow: ori = 90.0
38.2285 	EXP 	Arrow: autoDraw = True
39.3637 	DATA 	Keypress: right
39.3955 	INFO 	Keyboard events cleared
39.3950 	EXP 	Arrow: autoDraw = False
39.3950 	EXP 	Arrow: ori = 0.0
39.3950 	EXP 	Arrow: autoDraw = True
42.3157 	DATA 	Keypress: up
42.3287 	INFO 	Keyboard events cleared
42.3283 	EXP 	Arrow: autoDraw = False
42.3283 	EXP 	Arrow: ori = 180.0
42.3283 	EXP 	Arrow: autoDraw = True
43.5321 	DATA 	Keypress: down
43.5454 	INFO 	Keyboard events cleared
43.5449 	EXP 	Arrow: autoDraw = False
43.5449 	EXP 	Arrow: ori = 90.0
43.5449 	EXP 	Arrow: autoDraw = True
45.0483 	DATA 	Keypress: down
45.0622 	INFO 	Keyboard events cleared
45.0616 	EXP 	Arrow: autoDraw = False
45.0616 	EXP 	Arrow: ori = 180.0
45.0616 	EXP 	Arrow: autoDraw = True
47.7355 	DATA 	Keypress: down
47.7457 	INFO 	Keyboard events cleared
47.7450 	EXP 	Arrow: autoDraw = False
47.7450 	EXP 	Arrow: ori = 0.0
47.7450 	EXP 	Arrow: autoDraw = True
48.7159 	DATA 	Keypress: left
48.7467 	INFO 	Keyboard events cleared
48.7453 	EXP 	Arrow: autoDraw = False
48.7453 	EXP 	Arrow: ori = 0.0
48.7453 	EXP 	Arrow: autoDraw = True
49.9158 	DATA 	Keypress: up
49.9289 	INFO 	Keyboard events cleared
49.9282 	EXP 	Arrow: autoDraw = False
49.9282 	EXP 	Arrow: ori = 270.0
49.9282 	EXP 	Arrow: autoDraw = True
50.6831 	DATA 	Keypress: left
50.6956 	INFO 	Keyboard events cleared
50.6950 	EXP 	Arrow: autoDraw = False
50.6950 	EXP 	Arrow: ori = 270.0
50.6950 	EXP 	Arrow: autoDraw = True
51.6016 	DATA 	Keypress: left
51.6125 	INFO 	Keyboard events cleared
51.6117 	EXP 	Arrow: autoDraw = False
51.6117 	EXP 	Arrow: ori = 180.0
51.6117 	EXP 	Arrow: autoDraw = True
54.2818 	DATA 	Keypress: down
54.2953 	INFO 	Keyboard events cleared
54.2947 	EXP 	Arrow: autoDraw = False
54.2947 	EXP 	Arrow: ori = 90.0
54.2947 	EXP 	Arrow: autoDraw = True
55.3488 	DATA 	Keypress: right
55.3620 	INFO 	Keyboard events cleared
55.3615 	EXP 	Arrow: autoDraw = False
55.3615 	EXP 	Arrow: ori = 270.0
55.3615 	EXP 	Arrow: autoDraw = True
56.1682 	DATA 	Keypress: left
56.1790 	INFO 	Keyboard events cleared
56.1781 	EXP 	Arrow: autoDraw = False
56.1781 	EXP 	Arrow: ori = 0.0
56.1781 	EXP 	Arrow: autoDraw = True
58.7980 	DATA 	Keypress: up
58.8287 	INFO 	Keyboard events cleared
58.8281 	EXP 	Arrow: autoDraw = False
58.8281 	EXP 	Arrow: ori = 270.0
58.8281 	EXP 	Arrow: autoDraw = True
61.6497 	DATA 	Keypress: up
61.6620 	INFO 	Keyboard events cleared
61.6613 	EXP 	Arrow: autoDraw = False
61.6613 	EXP 	Arrow: ori = 270.0
61.6613 	EXP 	Arrow: autoDraw = True
63.3351 	DATA 	Keypress: up
63.3454 	INFO 	Keyboard events cleared
63.3447 	EXP 	Arrow: autoDraw = False
63.3447 	EXP 	Arrow: ori = 0.0
63.3447 	EXP 	Arrow: autoDraw = True
64.0007 	DATA 	Keypress: right
64.0118 	INFO 	Keyboard events cleared
64.0113 	EXP 	Arrow: autoDraw = False
64.0113 	EXP 	Arrow: ori = 270.0
64.0113 	EXP 	Arrow: autoDraw = True
64.9857 	DATA 	Keypress: left
64.9956 	INFO 	Keyboard events cleared
64.9946 	EXP 	Arrow: autoDraw = False
64.9946 	EXP 	Arrow: ori = 0.0
64.9946 	EXP 	Arrow: autoDraw = True
65.9716 	DATA 	Keypress: up
65.9784 	INFO 	Keyboard events cleared
65.9779 	EXP 	Arrow: autoDraw = False
65.9779 	EXP 	Arrow: ori = 90.0
65.9779 	EXP 	Arrow: autoDraw = True
67.0970 	DATA 	Keypress: right
67.1117 	INFO 	Keyboard events cleared
67.1111 	EXP 	Arrow: autoDraw = False
67.1111 	EXP 	Arrow: ori = 270.0
67.1111 	EXP 	Arrow: autoDraw = True
69.2639 	DATA 	Keypress: left
69.2783 	INFO 	Keyboard events cleared
69.2778 	EXP 	Arrow: autoDraw = False
69.2778 	EXP 	Arrow: ori = 0.0
69.2778 	EXP 	Arrow: autoDraw = True
69.9304 	DATA 	Keypress: up
69.9448 	INFO 	Keyboard events cleared
69.9444 	EXP 	Arrow: autoDraw = False
69.9444 	EXP 	Arrow: ori = 180.0
69.9444 	EXP 	Arrow: autoDraw = True
70.6642 	DATA 	Keypress: down
70.6782 	INFO 	Keyboard events cleared
70.6777 	EXP 	Arrow: autoDraw = False
70.6777 	EXP 	Arrow: ori = 270.0
70.6777 	EXP 	Arrow: autoDraw = True
72.9307 	DATA 	Keypress: left
72.9449 	INFO 	Keyboard events cleared
72.9444 	EXP 	Arrow: autoDraw = False
72.9444 	EXP 	Arrow: ori = 180.0
72.9444 	EXP 	Arrow: autoDraw = True
75.8971 	DATA 	Keypress: left
75.9114 	INFO 	Keyboard events cleared
75.9110 	EXP 	Arrow: autoDraw = False
75.9110 	EXP 	Arrow: ori = 90.0
75.9110 	EXP 	Arrow: autoDraw = True
77.1641 	DATA 	Keypress: right
77.1782 	INFO 	Keyboard events cleared
77.1776 	EXP 	Arrow: autoDraw = False
77.1776 	EXP 	Arrow: ori = 0.0
77.1776 	EXP 	Arrow: autoDraw = True
78.0653 	DATA 	Keypress: up
78.0782 	INFO 	Keyboard events cleared
78.0777 	EXP 	Arrow: autoDraw = False
78.0777 	EXP 	Arrow: ori = 180.0
78.0777 	EXP 	Arrow: autoDraw = True
79.6300 	DATA 	Keypress: down
79.6446 	INFO 	Keyboard events cleared
79.6442 	EXP 	Arrow: autoDraw = False
79.6442 	EXP 	Arrow: ori = 270.0
79.6442 	EXP 	Arrow: autoDraw = True
81.1804 	DATA 	Keypress: left
81.1945 	INFO 	Keyboard events cleared
81.1941 	EXP 	Arrow: autoDraw = False
81.1941 	EXP 	Arrow: ori = 90.0
81.1941 	EXP 	Arrow: autoDraw = True
82.4976 	DATA 	Keypress: left
82.5111 	INFO 	Keyboard events cleared
82.5107 	EXP 	Arrow: autoDraw = False
82.5107 	EXP 	Arrow: ori = 270.0
82.5107 	EXP 	Arrow: autoDraw = True
84.1473 	DATA 	Keypress: left
84.1613 	INFO 	Keyboard events cleared
84.1608 	EXP 	Arrow: autoDraw = False
84.1608 	EXP 	Arrow: ori = 180.0
84.1608 	EXP 	Arrow: autoDraw = True
85.4315 	DATA 	Keypress: down
85.4447 	INFO 	Keyboard events cleared
85.4441 	EXP 	Arrow: autoDraw = False
85.4441 	EXP 	Arrow: ori = 0.0
85.4441 	EXP 	Arrow: autoDraw = True
86.2299 	DATA 	Keypress: up
86.2446 	INFO 	Keyboard events cleared
86.2441 	EXP 	Arrow: autoDraw = False
86.2441 	EXP 	Arrow: ori = 90.0
86.2441 	EXP 	Arrow: autoDraw = True
88.0801 	DATA 	Keypress: up
88.0944 	INFO 	Keyboard events cleared
88.0940 	EXP 	Arrow: autoDraw = False
88.0940 	EXP 	Arrow: ori = 180.0
88.0940 	EXP 	Arrow: autoDraw = True
90.0980 	DATA 	Keypress: down
90.1109 	INFO 	Keyboard events cleared
90.1105 	EXP 	Arrow: autoDraw = False
90.1105 	EXP 	Arrow: ori = 90.0
90.1105 	EXP 	Arrow: autoDraw = True
91.0139 	DATA 	Keypress: right
91.0277 	INFO 	Keyboard events cleared
91.0273 	EXP 	Arrow: autoDraw = False
91.0273 	EXP 	Arrow: ori = 270.0
91.0273 	EXP 	Arrow: autoDraw = True
92.4144 	DATA 	Keypress: left
92.4276 	INFO 	Keyboard events cleared
92.4271 	EXP 	Arrow: autoDraw = False
92.4271 	EXP 	Arrow: ori = 180.0
92.4271 	EXP 	Arrow: autoDraw = True
93.8797 	DATA 	Keypress: left
93.8944 	INFO 	Keyboard events cleared
93.8940 	EXP 	Arrow: autoDraw = False
93.8940 	EXP 	Arrow: ori = 0.0
93.8940 	EXP 	Arrow: autoDraw = True
94.8997 	DATA 	Keypress: up
94.9112 	INFO 	Keyboard events cleared
94.9107 	EXP 	Arrow: autoDraw = False
94.9107 	EXP 	Arrow: ori = 270.0
94.9107 	EXP 	Arrow: autoDraw = True
95.6468 	DATA 	Keypress: left
95.6610 	INFO 	Keyboard events cleared
95.6607 	EXP 	Arrow: autoDraw = False
95.6607 	EXP 	Arrow: ori = 0.0
95.6607 	EXP 	Arrow: autoDraw = True
96.6294 	DATA 	Keypress: up
96.6444 	INFO 	Keyboard events cleared
96.6439 	EXP 	Arrow: autoDraw = False
96.6439 	EXP 	Arrow: ori = 0.0
96.6439 	EXP 	Arrow: autoDraw = True
98.4161 	DATA 	Keypress: up
98.4277 	INFO 	Keyboard events cleared
98.4271 	EXP 	Arrow: autoDraw = False
98.4271 	EXP 	Change_eye: autoDraw = True
106.6803 	DATA 	Keypress: space
106.6944 	INFO 	Keyboard events cleared
106.6937 	EXP 	Change_eye: autoDraw = False
106.6937 	EXP 	Arrow2: ori = 0.0
106.6937 	EXP 	Arrow2: autoDraw = True
107.9817 	DATA 	Keypress: up
107.9945 	INFO 	Keyboard events cleared
107.9937 	EXP 	Arrow2: autoDraw = False
107.9937 	EXP 	Arrow2: ori = 90.0
107.9937 	EXP 	Arrow2: autoDraw = True
108.5333 	DATA 	Keypress: right
108.5455 	INFO 	Keyboard events cleared
108.5443 	EXP 	Arrow2: autoDraw = False
108.5443 	EXP 	Arrow2: ori = 270.0
108.5443 	EXP 	Arrow2: autoDraw = True
110.2368 	DATA 	Keypress: left
110.2451 	INFO 	Keyboard events cleared
110.2440 	EXP 	Arrow2: autoDraw = False
110.2440 	EXP 	Arrow2: ori = 270.0
110.2440 	EXP 	Arrow2: autoDraw = True
146.2623 	DATA 	Keypress: left
146.2765 	INFO 	Keyboard events cleared
146.2760 	EXP 	Arrow2: autoDraw = False
146.2760 	EXP 	Arrow2: ori = 0.0
146.2760 	EXP 	Arrow2: autoDraw = True
148.3632 	DATA 	Keypress: left
148.3763 	INFO 	Keyboard events cleared
148.3759 	EXP 	Arrow2: autoDraw = False
148.3759 	EXP 	Arrow2: ori = 0.0
148.3759 	EXP 	Arrow2: autoDraw = True
149.9959 	DATA 	Keypress: left
150.0096 	INFO 	Keyboard events cleared
150.0092 	EXP 	Arrow2: autoDraw = False
150.0092 	EXP 	Arrow2: ori = 270.0
150.0092 	EXP 	Arrow2: autoDraw = True
150.6954 	DATA 	Keypress: left
150.7098 	INFO 	Keyboard events cleared
150.7093 	EXP 	Arrow2: autoDraw = False
150.7093 	EXP 	Arrow2: ori = 90.0
150.7093 	EXP 	Arrow2: autoDraw = True
151.3284 	DATA 	Keypress: right
151.3428 	INFO 	Keyboard events cleared
151.3425 	EXP 	Arrow2: autoDraw = False
151.3425 	EXP 	Arrow2: ori = 90.0
151.3425 	EXP 	Arrow2: autoDraw = True
152.1461 	DATA 	Keypress: right
152.1598 	INFO 	Keyboard events cleared
152.1593 	EXP 	Arrow2: autoDraw = False
152.1593 	EXP 	Arrow2: ori = 270.0
152.1593 	EXP 	Arrow2: autoDraw = True
155.3623 	DATA 	Keypress: left
155.3762 	INFO 	Keyboard events cleared
155.3758 	EXP 	Arrow2: autoDraw = False
155.3758 	EXP 	Arrow2: ori = 0.0
155.3758 	EXP 	Arrow2: autoDraw = True
157.2453 	DATA 	Keypress: left
157.2596 	INFO 	Keyboard events cleared
157.2591 	EXP 	Arrow2: autoDraw = False
157.2591 	EXP 	Arrow2: ori = 180.0
157.2591 	EXP 	Arrow2: autoDraw = True
158.8970 	DATA 	Keypress: down
158.9097 	INFO 	Keyboard events cleared
158.9092 	EXP 	Arrow2: autoDraw = False
158.9092 	EXP 	Arrow2: ori = 90.0
158.9092 	EXP 	Arrow2: autoDraw = True
159.6158 	DATA 	Keypress: right
159.6266 	INFO 	Keyboard events cleared
159.6258 	EXP 	Arrow2: autoDraw = False
159.6258 	EXP 	Arrow2: ori = 180.0
159.6258 	EXP 	Arrow2: autoDraw = True
161.2467 	DATA 	Keypress: right
161.2595 	INFO 	Keyboard events cleared
161.2590 	EXP 	Arrow2: autoDraw = False
161.2590 	EXP 	Arrow2: ori = 180.0
