ParticipantID,StimOrientation,Direction,ResponseTime,IsOddBall,WaveSpeed
RH,SpiralL,left,2.70322799683,N,1.23136594106
RH,SpiralR,left,4.56797122955,N,1.23136594106
RH,RadialL,left,3.59449410439,N,1.37360069342
RH,RadialR,right,1.12495517731,N,1.36051408731
RH,ConcentricR,right,1.10324597359,N,1.35937149764
RH,SpiralL,right,0.0437188148499,Y,1.23136594106
RH,ConcentricL,left,2.24898386002,N,1.35937149764
RH,SpiralR,right,1.79653787613,N,1.34440032807
RH,ConcentricL,right,1.28274893761,N,1.35554036964
RH,ConcentricR,left,1.37485003471,N,1.35554036964
RH,RadialL,left,1.7824640274,N,1.36051408731
RH,SpiralL,left,3.17363405228,N,1.34440032807
RH,SpiralL,right,0.912164926529,Y,1.34440032807
RH,RadialR,right,1.06822013855,N,1.34589938988
RH,ConcentricL,right,1.04926586151,N,1.34095586925
RH,SpiralR,right,1.34289598465,N,1.34414960417
RH,SpiralL,left,11.2004179955,N,1.34414960417
RH,RadialR,left,1.06109690666,N,1.34589938988
RH,RadialL,right,0.845390081406,Y,1.34589938988
RH,RadialL,right,1.63053011894,N,1.35945323412
RH,ConcentricR,left,1.59579515457,N,1.34095586925
RH,RadialL,left,1.08266782761,N,1.35945323412
RH,SpiralL,right,1.51889896393,N,1.36911379842
RH,SpiralR,right,3.34525799751,N,1.61613182331
RH,ConcentricR,right,0.678755044937,Y,1.34095586925
RH,ConcentricR,left,1.36165904999,N,1.34095586925
RH,ConcentricL,left,1.59400582314,N,1.34095586925
RH,RadialR,right,0.856637954712,N,1.33659799414
RH,SpiralL,right,1.68607902527,N,1.62390373464
RH,SpiralR,left,1.89747095108,N,1.62390373464
RH,RadialR,left,1.1473698616,N,1.33659799414
RH,RadialL,right,0.980922937393,N,1.32113386124
RH,SpiralL,right,0.0437819957733,Y,1.62390373464
RH,ConcentricL,left,3.81960010529,N,1.34095586925
RH,ConcentricR,left,3.05345582962,N,1.34095586925
